Bananas,20,0,1,80
Milk,5,4,3.3,65
Cheese,0,25,22,310
Ice cream,25,7,4,170
Eggs,0,11,12,150
Chicken,0,5,25,150
Fish,8,10,20,220
Beans,3,0,2,20
Carrot,4,0,0.6,20
Caurliflower,1,0,1.5,10
Cucumber,2,0,0.6,10
Peas,8,0,5,50
Potatoes,22,0,1,80
Tomatoes,3,0,1,15
Apples,12,0,0.3,45
Cherries,20,0,0.6,50
Grapes,12,0,0.6,60
Oranges,15,49,1,35
Pea nuts,9,0,24,570
Bread,2,2,8,230
Rice,30,0,2,120
Cream,3,21,2,210
